wind speed(km/hr),Number of rotations(RPM),Energy generated (MW)
13,4.3329,0.2166671
15,4.9995,0.2500005
45,14.9985,0.7500015
56,18.6648,0.9333352
16,5.3328,0.2666672
54,17.9982,0.9000018
34,11.3322,0.5666678
23,7.6659,0.3833341
25,8.3325,0.4166675
44,14.6652,0.7333348
38,12.6654,0.6333346
29,9.6657,0.4833343
27,8.9991,0.4500009
28,9.3324,0.4666676
31,10.3323,0.5166677
32,10.6656,0.5333344
33,10.9989,0.5500011
37,12.3321,0.6166679
39,12.9987,0.6500013
41,13.6653,0.6833347
42,13.9986,0.7000014
44.5,14.83185,0.74166815
56.7,18.89811,0.94500189
55.7,18.56481,0.92833519
43.7,14.56521,0.72833479
54.8,18.26484,0.91333516
28,9.3324,0.4666676
18,5.9994,0.3000006
19,6.3327,0.3166673
21,6.9993,0.3500007
22,7.3326,0.3666674
20,6.666,0.333334
51,16.9983,0.8500017
53,17.6649,0.8833351
55,18.3315,0.9166685
57,18.9981,0.9500019
56,18.6648,0.9333352
45,14.9985,0.7500015
43,14.3319,0.7166681
46,15.3318,0.7666682
34,11.3322,0.5666678
27,8.9991,0.4500009
28,9.3324,0.4666676
29,9.6657,0.4833343
29,9.6657,0.4833343
57,18.9981,0.9500019
34,11.3322,0.5666678
42,13.9986,0.7000014
35,11.6655,0.5833345
33,10.9989,0.5500011
31,10.3323,0.5166677
30,9.999,0.500001
32,10.6656,0.5333344
